feature,Description
mt101s__tu,Total balance of all mortgage trades verified in past 12 months
md02s__tu,Number of open medical trades
md33s__tu,Total balance of open medical trades verified in past 12 months
md106s__tu,Number of medical trades 30 or more days past due in past 24 months
of01s__tu,Number of credit union trades
of02s__tu,Number of open credit union trades
of03s__tu,Number of currently satisfactory open credit union trades
of06s__tu,Number of credit union trades opened in past 6 months
of09s__tu,Number of credit union trades opened in past 24 months
of12s__tu,Number of open credit union trades verified in past 12 months
of20s__tu,Months since oldest credit union trade opened
of21s__tu,Months since most recent credit union trade opened
of24s__tu,Number of currently open and satisfactory credit union trades 6 months or older
of25s__tu,Number of currently open and satisfactory credit union trades 12 months or older
of27s__tu,Number of currently open and satisfactory credit union trades 24 months or older
of28s__tu,Total credit line of open credit union trades verified in past 12 months
of29s__tu,Number of open credit union trades with balance > $0 verified in past 12 months
of30s__tu,Percentage of open credit union trades > 50% of credit line verified in past 12 months
of31s__tu,Percentage of open credit union trades > 75% of credit line verified in past 12 months
of32s__tu,Maximum balance owed on credit union trades verified in past 12 months
of33s__tu,Total balance of open credit union trades verified in past 12 months
of34s__tu,Utilization for open credit union trades verified in past 12 months
of35s__tu,Average balance of open credit union trades verified in past 12 months
of36s__tu,Months since most recent credit union delinquency
of57s__tu,Total past due amount of open credit union trades verified in past 12 months
of101s__tu,Total balance of all credit union trades verified in past 12 months
pb01s__tu,Number of premium credit card trades
pb02s__tu,Number of open premium credit card trades
pb03s__tu,Number of currently satisfactory open premium credit card trades
pb06s__tu,Number of premium credit card trades opened in past 6 months
pb09s__tu,Number of premium credit card trades opened in past 24 months
pb12s__tu,Number of open premium credit card trades verified in past 12 months
pb20s__tu,Months since oldest premium credit card trade opened
pb21s__tu,Months since most recent premium credit card trade opened
pb24s__tu,Number of currently open and satisfactory premium credit card trades 6 months or older
pb25s__tu,Number of currently open and satisfactory premium credit card trades 12 months or older
pb27s__tu,Number of currently open and satisfactory premium credit card trades 24 months or older
pb28s__tu,Total credit line of open premium credit card trades verified in past 12 months
pb29s__tu,Number of open premium credit card trades with balance > $0 verified in past 12 months
pb30s__tu,Percentage of open premium credit card trades > 50% of credit line verified in past 12 months
pb31s__tu,Percentage of open premium credit card trades > 75% of credit line verified in past 12 months
pb32s__tu,Maximum balance owed on open premium redit card trades verified in past 12 months
pb33s__tu,Total balance of open premium credit card trades verified in past 12 months
pb34s__tu,Utilization for open premium credit card trades verified in past 12 months
pb35s__tu,Average balance of open premium credit card trades verified in past 12 months
pb36s__tu,Months since most recent premium credit card delinquency
pb57s__tu,Total past due amount of open premium credit card trades verified in past 12 months
pb101s__tu,Total balance of all premium credit card trades verified in past 12 months
re01s__tu,Number of revolving trades
re02s__tu,Number of open revolving trades
re03s__tu,Number of currently satisfactory open revolving trades
re06s__tu,Number of revolving trades opened in past 6 months
re09s__tu,Number of revolving trades opened in past 24 months
re12s__tu,Number of open revolving trades verified in past 12 months
re20s__tu,Months since oldest revolving trade opened
re21s__tu,Months since most recent revolving trade opened
re24s__tu,Number of currently open and satisfactory revolving trades 6 months or older
re25s__tu,Number of currently open and satisfactory revolving trades 12 months or older
re27s__tu,Number of currently open and satisfactory revolving trades 24 months or older
re28s__tu,Total credit line of open revolving trades verified in past 12 months
re29s__tu,Number of open revolving trades with balance > $0 verified in past 12 months
re30s__tu,Percentage of open revolving trades > 50% of credit line verified in past 12 months
re31s__tu,Percentage of open revolving trades > 75% of credit line verified in past 12 months
re32s__tu,Maximum balance owed on open revolving trades verified in past 12 months
re33s__tu,Total balance of open revolving trades verified in past 12 months
re34s__tu,Utilization for open revolving trades verified in past 12 months
re35s__tu,Average balance of open revolving trades verified in past 12 months
re36s__tu,Months since most recent revolving delinquency
re57s__tu,Total past due amount of open revolving trades verified in past 12 months
re101s__tu,Total balance of all revolving trades verified in past 12 months
re102s__tu,Average credit line of open revolving trades verified in past 12 months
rp01s__tu,Number of repossession trades
rp02s__tu,Number of repossession trades in past 12 months
rp03s__tu,Number of repossession trades in past 24 months
rp04s__tu,Months since most recent repossession trade reported
rp05s__tu,Total balance of repossession trades
rp06s__tu,Total balance of repossession trades in past 12 months
rp07s__tu,Total balance of repossession trades in past 24 months
rp08s__tu,Number of paid/redeemed repossession trades
rt01s__tu,Number of retail trades
rt02s__tu,Number of open retail trades
rt03s__tu,Number of currently satisfactory open retail trades
rt06s__tu,Number of retail trades opened in past 6 months
rt09s__tu,Number of retail trades opened in past 24 months
rt12s__tu,Number of open retail trades verified in past 12 months
rt20s__tu,Months since oldest retail trade opened
rt21s__tu,Months since most recent retail trade opened
rt24s__tu,Number of currently open and satisfactory retail trades 6 months or older
rt25s__tu,Number of currently open and satisfactory retail trades 12 months or older
rt27s__tu,Number of currently open and satisfactory retail trades 24 months or older
rt28s__tu,Total credit line of open retail trades verified in past 12 months
rt29s__tu,Number of open retail trades with balance > $0 verified in past 12 months
rt30s__tu,Percentage of open retail trades > 50% of credit line verified in past 12 months
rt31s__tu,Percentage of open retail trades > 75% of credit line verified in past 12 months
rt32s__tu,Maximum balance owed on open retail trades verified in past 12 months
rt33s__tu,Total balance of open retail trades verified in past 12 months
rt34s__tu,Utilization for open retail trades verified in past 12 months
rt35s__tu,Average balance of open retail trades verified in past 12 months
rt36s__tu,Months since most recent retail delinquency
rt57s__tu,Total past due amount of open retail trades verified in past 12 months
rt101s__tu,Total balance of all retail trades verified in past 12 months
rt201s__tu,Highest balance of retail trades
s004s__tu,Average number of months trades have been on file
s043s__tu,Number of open trades > 50% of credit line verified in past 12 months (excluding installments and mortgages)
s061s__tu,Months since most recent 60 or more days past due
s062s__tu,Months since most recent 90 or more days past due
s064a__tu,Total placement amount of third party collections
s064b__tu,Total placement amount of non-medical third party collections
s068a__tu,Number of third party collections
s068b__tu,Number of non-medical third party collections
s071a__tu,Number of third party collections opened in past 36 months
s071b__tu,Number of non-medical third party collections opened in past 36 months
s073a__tu,Number of third party collections with balance > $100
s073b__tu,Number of non-medical third party collections with balance > $100
s114s__tu,Number of deduped inquiries in past 6 months (excluding auto and mortgage inquiries)
st01s__tu,Number of student loan trades
st02s__tu,Number of open student loan trades
st03s__tu,Number of currently satisfactory open student loan trades
st05s__tu,Number of open co-borrower student loan trades
st06s__tu,Number of student loan trades opened in past 6 months
st09s__tu,Number of student loan trades opened in past 24 months
st12s__tu,Number of open student loan trades verified in past 12 months
st20s__tu,Months since oldest student loan trade opened
st21s__tu,Months since most recent student loan trade opened
st24s__tu,Number of currently open and satisfactory student loan trades 6 months or older
st25s__tu,Number of currently open and satisfactory student loan trades 12 months or older
st27s__tu,Number of currently open and satisfactory student loan trades 24 months or older
st28s__tu,Total credit line of open student loan trades verified in past 12 months
st29s__tu,Number of open student loan trades with balance > $0 verified in past 12 months
st30s__tu,Percentage of open student loan trades > 50% of credit line verified in past 12 months
st31s__tu,Percentage of open student loan trades > 75% of credit line verified in past 12 months
st32s__tu,Maximum balance owed on open student loan trades verified in past 12 months
st33s__tu,Total balance of open student loan trades verified in past 12 months
st34s__tu,Utilization for open student loan trades verified in past 12 months
st35s__tu,Average balance of open student loan trades verified in past 12 months
st36s__tu,Months since most recent student loan delinquency
st45s__tu,Months since oldest student loan in repayment trade opened
st50s__tu,Number of 90 or more days past due ratings on student loan trades
st57s__tu,Total past due amount of open student loan trades verified in past 12 months
st60s__tu,Only trade(s) is student loan(s)
st99s__tu,Total balance of all student loan trades ever delinquent
st101s__tu,Total balance of all student loan trades verified in past 12 months
atap01__tu,Total scheduled monthly payment for all trades verified in past 12 months
hiap01__tu,Total scheduled monthly payment for open home equity loan trades verified in past 12 months
hrap01__tu,Total scheduled monthly payment for all home equity line of credit trades verified in past 12 months
inap01__tu,Total scheduled monthly payment for open installment trades verified in past 12 months
mtap01__tu,Total scheduled monthly payment for open mortgage trades verified in past 12 months
reap01__tu,Total scheduled monthly payment for all revolving trades verified in past 12 months
s063s__tu,Total public record amount reported in past 12 months
s063a__tu,Total public record amount
s208s__tu,Number of tax liens
s207s__tu,Months since most recent public record bankruptcy
s207a__tu,Months since most recent tradeline bankruptcy
g106s__tu,Months on file
g099a__tu,Number of tradeline bankruptcies verified in past 24 months
s209s__tu,Months since most recent third party collection
s209a__tu,Months since most recent non-medical third party collection
s204s__tu,Total balance of third party collections verified in past 12 months
s204a__tu,Total balance of non-medical third party collections verified in past 12 months
g242s__tu,Number of inquiries (includes duplicates) in past 3 months
g242f__tu,Number of finance inquiries (includes duplicates) in past 3 months
g243f__tu,Number of finance inquiries (includes duplicates) in past 6 months
g244f__tu,Number of finance inquiries (includes duplicates) in past 12 months
g242b__tu,Number of bank inquiries (includes duplicates) in past 3 months
g243b__tu,Number of bank inquiries (includes duplicates) in past 6 months
g244b__tu,Number of bank inquiries (includes duplicates) in past 12 months
st102s__tu,Number of student loans in repayment
st103s__tu,Number of student loans in deferment
at01a__tu,Number of authorized user trades
us01s__tu,Number of unsecured installment trades
us02s__tu,Number of open unsecured installment trades
us03s__tu,Number of currently satisfactory open unsecured installment trades
us06s__tu,Number of unsecured installment trades opened in past 6 months
us09s__tu,Number of unsecured installment trades opened in past 24 months
us12s__tu,Number of open unsecured installment trades verified in past 12 months
us20s__tu,Months since oldest unsecured installment trade opened
us21s__tu,Months since most recent unsecured installment trade opened
us24s__tu,Number of currently open and satisfactory unsecured installment trades 6 months or older
us25s__tu,Number of currently open and satisfactory unsecured installment trades 12 months or older
us27s__tu,Number of currently open and satisfactory unsecured installment trades 24 months or older
us28s__tu,Total credit line of open unsecured installment trades verified in past 12 months
us29s__tu,Number of open unsecured installment trades with balance > $0 verified in past 12 months
us30s__tu,Percentage of open unsecured installment trades > 50% of credit line verified in past 12 months
us31s__tu,Percentage of open unsecured installment trades > 75% of credit line verified in past 12 months
us32s__tu,Maximum balance owed on open unsecured installment trades verified in past 12 months
us33s__tu,Total balance of open unsecured installment trades verified in past 12 months
us34s__tu,Utilization for open unsecured installment trades verified in past 12 months
us35s__tu,Average balance of open unsecured installment trades verified in past 12 months
us36s__tu,Months since most recent unsecured installment delinquency
us57s__tu,Total past due amount of open unsecured installment trades verified in past 12 months
us101s__tu,Total balance of all unsecured installment trades verified in past 12 months (BKAGBAL)
se01s__tu,Number of secured installment trades
se02s__tu,Number of open secured installment trades
se03s__tu,Number of currently satisfactory open secured installment trades
se06s__tu,Number of secured installment trades opened in past 6 months
se09s__tu,Number of secured installment trades opened in past 24 months
se12s__tu,Number of open secured installment trades verified in past 12 months
se20s__tu,Months since oldest secured installment trade opened
se21s__tu,Months since most recent secured installment trade opened
se24s__tu,Number of currently open and satisfactory secured installment trades 6 months or older
se25s__tu,Number of currently open and satisfactory secured installment trades 12 months or older
se27s__tu,Number of currently open and satisfactory secured installment trades 24 months or older
se28s__tu,Total credit line of open secured installment trades verified in past 12 months
se29s__tu,Number of open secured installment trades with balance > $0 verified in past 12 months
se30s__tu,Percentage of open secured installment trades > 50% of credit line verified in past 12 months
se31s__tu,Percentage of open secured installment trades > 75% of credit line verified in past 12 months
se32s__tu,Maximum balance owed on open secured installment trades verified in past 12 months
se33s__tu,Total balance of open secured installment trades verified in past 12 months
se34s__tu,Utilization for open secured installment trades verified in past 12 months
se35s__tu,Average balance of open secured installment trades verified in past 12 months
se36s__tu,Months since most recent secured installment delinquency
se57s__tu,Total past due amount of open secured installment trades verified in past 12 months
se101s__tu,Total balance of all secured installment trades verified in past 12 months (BKAGBAL)
jt01s__tu,Number of joint trades
jt02s__tu,Number of open joint trades
jt03s__tu,Number of open joint trades currently satisfactory
jt20s__tu,Months since oldest joint trade opened
jt21s__tu,Months since most recent joint trade opened
jt28s__tu,Total credit line of open joint trade verified in the past 12 months
jt33s__tu,Total balance of joint trades in the last 12 months
jt34s__tu,Utilization of open joint trades verified in past 12 months
jt40s__tu,Number of joint revolving trades
jt41s__tu,Number of joint installment or joint mortgage trades
jt42s__tu,Ratio of open joint trades to open trades
jt44s__tu,Total past due amount of joint trades
jt51s__tu,Months since most recent 30+ days past due on a joint trade
jt53s__tu,Number of joint trades in collections or 3rd party non-medical collections with balance > $0 in past 24 months
jt70s__tu,Ratio of dollars past due joint trades to total dollars past due trades
jt75s__tu,Number of joint trades 30 days past due or worse in the last 12 months
jt80s__tu,Number of non-Mortgage and non-Auto joint trades with greater than 75% utilization
au200s__tu,Number of auto trades that are 30 days or more past due ever
au201s__tu,Number of auto trades that are 30 days or more past due in the past 12 months
au202s__tu,Number of auto trades that are 60 days or more past due ever
au203s__tu,Number of auto trades that are 60 days or more past due in the past 12 months
au204s__tu,Number of auto trades that are 90 days or more past due ever
au205s__tu,Number of auto trades that are 90 days or more past due in the past 12 months
au206s__tu,Number of auto repossession trades
au207s__tu,Number of auto charged-off trades
g400s__tu,Number of deduped mortgage inquiries in past 3 months
g401s__tu,Number of deduped mortgage inquiries in past 6 months
g402s__tu,Number of deduped mortgage inquiries in past 12 months
g403s__tu,Number of deduped mortgage inquiries
g404s__tu,Number of deduped finance inquiries in past 3 months
g405s__tu,Number of deduped finance inquiries in past 6 months
g406s__tu,Number of deduped finance inquiries in past 12 months
g407s__tu,Number of deduped finance inquiries
g408s__tu,Number of deduped bank inquiries in past 3 months
g409s__tu,Number of deduped bank inquiries in past 6 months
g410s__tu,Number of deduped bank inquiries in past 12 months
g411s__tu,Number of deduped bank inquiries
g412s__tu,Number of deduped auto inquiries in past 3 months
g413s__tu,Number of deduped auto inquiries in past 6 months
g414s__tu,Number of deduped auto inquiries in past 12 months
g415s__tu,Number of deduped auto inquiries
g416s__tu,Months since most recent finance inquiry
g417s__tu,Months since most recent bank inquiry
g418s__tu,Months since most recent auto inquiry
us51a__tu,Terms in months of most recent unsecured installment trade
hrap02__tu,Total scheduled monthly payment for open home equity line of credit trades verified in past 12 months
reap02__tu,Total scheduled monthly payment for all revolving and open heloc trades verified in past 12 months
g199b__tu,Total monthly obligation for contractually liable accounts verified in past 12 months and current balance > 0
g200b__tu,Percentage of contractually liable debt for trades with a current balance > 0
g205b__tu,Total monthly obligation for individual account verified in past 12 months and with a current balance > 0
g206b__tu,Total monthly obligation for joint account verified in past 12 months and with a current balance > 0  (ATTR14)
g207b__tu,Total monthly obligation for all accounts with a current balance > 0 (ATTR16)
g208b__tu,Percentage of individual debt for trades with a current balance > 0 (ATTR17)
cvau__tu,CreditVision Auto Score
cvam__tu,CreditVision Account Management Score
cvbk__tu,CreditVision Bankruptcy Score
cvna__tu,CreditVision New Account Score
cvpl__tu,Personal Loan Risk Score
cv_bc_prop__tu,CreditVision Bankcard Propensity Score
cv_cons_prop__tu,CV Consolidation Propensity Score
cv_persloan_prop__tu,CreditVision Personal Loan Propensity Score
syntheticfraud_score__tu,Synthetic ID Score - Value of the likelihood of a consumer being a synthetic identity
vantagescore3__tu,Vantage Score 3.0
vantagescore4__tu,Final Score
credit_as_of_date__tu,Credit as of date
trd__tu,Number of trades
bc_trd__tu,Number of bankcard trades
inst_trd__tu,Number of installment trades
nomt_trd__tu,Number of non-mortgage trades
rev_trd__tu,Number of revolving trades
rtl_trd__tu,Number of retail trades
agg101__tu,Aggregate non-mortgage balances for month 1
agg102__tu,Aggregate non-mortgage balances for month 2
agg103__tu,Aggregate non-mortgage balances for month 3
agg104__tu,Aggregate non-mortgage balances for month 4
agg105__tu,Aggregate non-mortgage balances for month 5
agg106__tu,Aggregate non-mortgage balances for month 6
agg107__tu,Aggregate non-mortgage balances for month 7
agg108__tu,Aggregate non-mortgage balances for month 8
agg109__tu,Aggregate non-mortgage balances for month 9
agg110__tu,Aggregate non-mortgage balances for month 10
agg111__tu,Aggregate non-mortgage balances for month 11
agg112__tu,Aggregate non-mortgage balances for month 12
agg113__tu,Aggregate non-mortgage balances for month 13
agg114__tu,Aggregate non-mortgage balances for month 14
agg115__tu,Aggregate non-mortgage balances for month 15
agg116__tu,Aggregate non-mortgage balances for month 16
agg117__tu,Aggregate non-mortgage balances for month 17
agg118__tu,Aggregate non-mortgage balances for month 18
agg119__tu,Aggregate non-mortgage balances for month 19
agg120__tu,Aggregate non-mortgage balances for month 20
agg121__tu,Aggregate non-mortgage balances for month 21
agg122__tu,Aggregate non-mortgage balances for month 22
agg123__tu,Aggregate non-mortgage balances for month 23
agg124__tu,Aggregate non-mortgage balances for month 24
agg201__tu,Aggregate non-mortgage credit line for month 1
agg202__tu,Aggregate non-mortgage credit line for month 2
agg203__tu,Aggregate non-mortgage credit line for month 3
agg204__tu,Aggregate non-mortgage credit line for month 4
agg205__tu,Aggregate non-mortgage credit line for month 5
agg206__tu,Aggregate non-mortgage credit line for month 6
agg207__tu,Aggregate non-mortgage credit line for month 7
agg208__tu,Aggregate non-mortgage credit line for month 8
agg209__tu,Aggregate non-mortgage credit line for month 9
agg210__tu,Aggregate non-mortgage credit line for month 10
agg211__tu,Aggregate non-mortgage credit line for month 11
agg212__tu,Aggregate non-mortgage credit line for month 12
agg213__tu,Aggregate non-mortgage credit line for month 13
agg214__tu,Aggregate non-mortgage credit line for month 14
agg215__tu,Aggregate non-mortgage credit line for month 15
agg216__tu,Aggregate non-mortgage credit line for month 16
agg217__tu,Aggregate non-mortgage credit line for month 17
agg218__tu,Aggregate non-mortgage credit line for month 18
agg219__tu,Aggregate non-mortgage credit line for month 19
agg220__tu,Aggregate non-mortgage credit line for month 20
agg221__tu,Aggregate non-mortgage credit line for month 21
agg222__tu,Aggregate non-mortgage credit line for month 22
agg223__tu,Aggregate non-mortgage credit line for month 23
agg224__tu,Aggregate non-mortgage credit line for month 24
agg301__tu,Aggregate non-mortgage amount past due for month 1
agg302__tu,Aggregate non-mortgage amount past due for month 2
agg303__tu,Aggregate non-mortgage amount past due for month 3
agg304__tu,Aggregate non-mortgage amount past due for month 4
agg305__tu,Aggregate non-mortgage amount past due for month 5
agg306__tu,Aggregate non-mortgage amount past due for month 6
agg307__tu,Aggregate non-mortgage amount past due for month 7
agg308__tu,Aggregate non-mortgage amount past due for month 8
agg309__tu,Aggregate non-mortgage amount past due for month 9
agg310__tu,Aggregate non-mortgage amount past due for month 10
agg311__tu,Aggregate non-mortgage amount past due for month 11
agg312__tu,Aggregate non-mortgage amount past due for month 12
agg313__tu,Aggregate non-mortgage amount past due for month 13
agg314__tu,Aggregate non-mortgage amount past due for month 14
agg315__tu,Aggregate non-mortgage amount past due for month 15
agg316__tu,Aggregate non-mortgage amount past due for month 16
agg317__tu,Aggregate non-mortgage amount past due for month 17
agg318__tu,Aggregate non-mortgage amount past due for month 18
agg319__tu,Aggregate non-mortgage amount past due for month 19
agg320__tu,Aggregate non-mortgage amount past due for month 20
agg321__tu,Aggregate non-mortgage amount past due for month 21
agg322__tu,Aggregate non-mortgage amount past due for month 22
agg323__tu,Aggregate non-mortgage amount past due for month 23
agg324__tu,Aggregate non-mortgage amount past due for month 24
agg401__tu,Aggregate non-mortgage actual payment for month 1
agg402__tu,Aggregate non-mortgage actual payment for month 2
agg403__tu,Aggregate non-mortgage actual payment for month 3
agg404__tu,Aggregate non-mortgage actual payment for month 4
agg405__tu,Aggregate non-mortgage actual payment for month 5
agg406__tu,Aggregate non-mortgage actual payment for month 6
agg407__tu,Aggregate non-mortgage actual payment for month 7
agg408__tu,Aggregate non-mortgage actual payment for month 8
agg409__tu,Aggregate non-mortgage actual payment for month 9
agg410__tu,Aggregate non-mortgage actual payment for month 10
agg411__tu,Aggregate non-mortgage actual payment for month 11
agg412__tu,Aggregate non-mortgage actual payment for month 12
agg413__tu,Aggregate non-mortgage actual payment for month 13
agg414__tu,Aggregate non-mortgage actual payment for month 14
agg415__tu,Aggregate non-mortgage actual payment for month 15
agg416__tu,Aggregate non-mortgage actual payment for month 16
agg417__tu,Aggregate non-mortgage actual payment for month 17
agg418__tu,Aggregate non-mortgage actual payment for month 18
agg419__tu,Aggregate non-mortgage actual payment for month 19
agg420__tu,Aggregate non-mortgage actual payment for month 20
agg421__tu,Aggregate non-mortgage actual payment for month 21
agg422__tu,Aggregate non-mortgage actual payment for month 22
agg423__tu,Aggregate non-mortgage actual payment for month 23
agg424__tu,Aggregate non-mortgage actual payment for month 24
agg501__tu,Aggregate bankcard balances for month 1
agg502__tu,Aggregate bankcard balances for month 2
agg503__tu,Aggregate bankcard balances for month 3
agg504__tu,Aggregate bankcard balances for month 4
agg505__tu,Aggregate bankcard balances for month 5
agg506__tu,Aggregate bankcard balances for month 6
agg507__tu,Aggregate bankcard balances for month 7
agg508__tu,Aggregate bankcard balances for month 8
agg509__tu,Aggregate bankcard balances for month 9
agg510__tu,Aggregate bankcard balances for month 10
agg511__tu,Aggregate bankcard balances for month 11
agg512__tu,Aggregate bankcard balances for month 12
agg513__tu,Aggregate bankcard balances for month 13
agg514__tu,Aggregate bankcard balances for month 14
agg515__tu,Aggregate bankcard balances for month 15
agg516__tu,Aggregate bankcard balances for month 16
agg517__tu,Aggregate bankcard balances for month 17
agg518__tu,Aggregate bankcard balances for month 18
agg519__tu,Aggregate bankcard balances for month 19
agg520__tu,Aggregate bankcard balances for month 20
agg521__tu,Aggregate bankcard balances for month 21
agg522__tu,Aggregate bankcard balances for month 22
agg523__tu,Aggregate bankcard balances for month 23
agg524__tu,Aggregate bankcard balances for month 24
agg601__tu,Aggregate bankcard credit line for month 1
agg602__tu,Aggregate bankcard credit line for month 2
agg603__tu,Aggregate bankcard credit line for month 3
agg604__tu,Aggregate bankcard credit line for month 4
agg605__tu,Aggregate bankcard credit line for month 5
agg606__tu,Aggregate bankcard credit line for month 6
agg607__tu,Aggregate bankcard credit line for month 7
agg608__tu,Aggregate bankcard credit line for month 8
agg609__tu,Aggregate bankcard credit line for month 9
agg610__tu,Aggregate bankcard credit line for month 10
agg611__tu,Aggregate bankcard credit line for month 11
agg612__tu,Aggregate bankcard credit line for month 12
agg613__tu,Aggregate bankcard credit line for month 13
agg614__tu,Aggregate bankcard credit line for month 14
agg615__tu,Aggregate bankcard credit line for month 15
agg616__tu,Aggregate bankcard credit line for month 16
agg617__tu,Aggregate bankcard credit line for month 17
agg618__tu,Aggregate bankcard credit line for month 18
agg619__tu,Aggregate bankcard credit line for month 19
agg620__tu,Aggregate bankcard credit line for month 20
agg621__tu,Aggregate bankcard credit line for month 21
agg622__tu,Aggregate bankcard credit line for month 22
agg623__tu,Aggregate bankcard credit line for month 23
agg624__tu,Aggregate bankcard credit line for month 24
agg701__tu,Aggregate bankcard amount past due for month 1
agg702__tu,Aggregate bankcard amount past due for month 2
agg703__tu,Aggregate bankcard amount past due for month 3
agg704__tu,Aggregate bankcard amount past due for month 4
agg705__tu,Aggregate bankcard amount past due for month 5
agg706__tu,Aggregate bankcard amount past due for month 6
agg707__tu,Aggregate bankcard amount past due for month 7
agg708__tu,Aggregate bankcard amount past due for month 8
agg709__tu,Aggregate bankcard amount past due for month 9
agg710__tu,Aggregate bankcard amount past due for month 10
agg711__tu,Aggregate bankcard amount past due for month 11
agg712__tu,Aggregate bankcard amount past due for month 12
agg713__tu,Aggregate bankcard amount past due for month 13
agg714__tu,Aggregate bankcard amount past due for month 14
agg715__tu,Aggregate bankcard amount past due for month 15
agg716__tu,Aggregate bankcard amount past due for month 16
agg717__tu,Aggregate bankcard amount past due for month 17
agg718__tu,Aggregate bankcard amount past due for month 18
agg719__tu,Aggregate bankcard amount past due for month 19
agg720__tu,Aggregate bankcard amount past due for month 20
agg721__tu,Aggregate bankcard amount past due for month 21
agg722__tu,Aggregate bankcard amount past due for month 22
agg723__tu,Aggregate bankcard amount past due for month 23
agg724__tu,Aggregate bankcard amount past due for month 24
agg801__tu,Aggregate bankcard actual payment for month 1
agg802__tu,Aggregate bankcard actual payment for month 2
agg803__tu,Aggregate bankcard actual payment for month 3
agg804__tu,Aggregate bankcard actual payment for month 4
agg805__tu,Aggregate bankcard actual payment for month 5
agg806__tu,Aggregate bankcard actual payment for month 6
agg807__tu,Aggregate bankcard actual payment for month 7
agg808__tu,Aggregate bankcard actual payment for month 8
agg809__tu,Aggregate bankcard actual payment for month 9
agg810__tu,Aggregate bankcard actual payment for month 10
agg811__tu,Aggregate bankcard actual payment for month 11
agg812__tu,Aggregate bankcard actual payment for month 12
agg813__tu,Aggregate bankcard actual payment for month 13
agg814__tu,Aggregate bankcard actual payment for month 14
agg815__tu,Aggregate bankcard actual payment for month 15
agg816__tu,Aggregate bankcard actual payment for month 16
agg817__tu,Aggregate bankcard actual payment for month 17
agg818__tu,Aggregate bankcard actual payment for month 18
agg819__tu,Aggregate bankcard actual payment for month 19
agg820__tu,Aggregate bankcard actual payment for month 20
agg821__tu,Aggregate bankcard actual payment for month 21
agg822__tu,Aggregate bankcard actual payment for month 22
agg823__tu,Aggregate bankcard actual payment for month 23
agg824__tu,Aggregate bankcard actual payment for month 24
agg901__tu,Number of aggregate non-mortgage balance increases over last 3 months
agg902__tu,Number of aggregate non-mortgage balance decreases over last 3 months
agg903__tu,Number of aggregate non-mortgage credit line increases over last 3 months
agg904__tu,Number of aggregate non-mortgage credit line decreases over last 3 months
agg905__tu,Average aggregate bankcard utilization over last 3 months
agg906__tu,Average aggregate bankcard utilization over last 12 months
agg907__tu,Max aggregate bankcard balance over last 3 months
agg908__tu,Max aggregate bankcard balance over last 12 months
agg909__tu,Months since max aggregate bankcard balance over last 12 months
agg910__tu,Max aggregate bankcard utilization over last 3 months
agg911__tu,Max aggregate bankcard utilization over last 12 months
trv01__tu,Number of months since overlimit on a bankcard
trv02__tu,Number of months overlimit on a bankcard over last 12 months
trv03__tu,Number of non-mortgage trades with a balance increase last month
trv04__tu,Number of non-mortgage balance increases last 3 months
trv05__tu,Number of non-mortgage trades with a balance increase YOY
trv06__tu,Number of months non-mortgage balance increases last 12 months
trv07__tu,Number of non-mortgage balance decreases last month
trv08__tu,Number of non-mortgage balance decreases last 3 months
trv09__tu,Number of non-mortgage balance decreases YOY
trv10__tu,Number of months non-mortgage balance decreases last 12 months
trv11__tu,Number of revolving high credit increases last month
trv12__tu,Number of revolving high credit increases last 3 months
trv13__tu,Number of revolving high credit increases YOY
trv14__tu,Number of months revolving high credit increases last 12 months
trv15__tu,Number of bankcard credit limit increases last month
trv16__tu,Number of bankcard credit limit increases last 3 months
trv17__tu,Number of bankcard credit limit increases YOY
trv18__tu,Number of months bankcard credit limit increases last 12 months
trv19__tu,Number of bankcard credit limit decreases last month
trv20__tu,Number of bankcard credit limit decreases last 3 months
trv21__tu,Number of bankcard credit limit decreases YOY
trv22__tu,Number of months bankcard credit limit decreases last 12 months
trv23__tu,Number of mortgages with a balance decrease 6 months ago to last month
balmag01__tu,Non-mortgage balance magnitude algorithm over last 24 months
balmag02__tu,Bankcard balance magnitude algorithm over last 24 months
rvlr01__tu,Bankcard revolver trade utilization last month
rvlr02__tu,Retail revolver trade utilization last month
rvlr03__tu,Total bankcard revolver trade balance
rvlr04__tu,Total retail revolver trade balance
rvlr05__tu,Ratio of bankcard revolver trade balance to total bankcard balance
rvlr06__tu,Ratio of retail revolver trade balance to total retail balance
rvlr07__tu,Number of bankcard revolver trades over last month
rvlr08__tu,Number of bankcard revolver trades over last 3 months
rvlr09__tu,Number of bankcard revolver trades over last 6 months
rvlr10__tu,Number of bankcard revolver trades on newly opened cards
rvlr11__tu,Number of retail revolver trades over last month
rvlr12__tu,Number of retail revolver trades over last 3 months
rvlr13__tu,Number of retail revolver trades over last 6 months
rvlr14__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with highest balance  - month 1 - 8
rvlr15__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with highest balance  - month 9 - 16
rvlr16__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with highest balance  - month 17 - 24
rvlr17__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with second highest balance : month 1 -8
rvlr18__tu,Bankcard Revolver/Transactor/Inactive pattern for bankcard with second highest balance  - month 9 - 16
